work;author
479;11682
482;11683
527;11683
482;11684
527;11684
2920;11685
482;11685
487;11686
489;11687
489;11688
490;11689
491;11690
501;11691
503;11692
505;11693
514;11694
515;11695
518;11696
521;11697
521;11698
522;11699
524;11700
539;11701
524;11701
529;11702
532;11703
546;11704
546;11705
546;11706
546;11707
547;11708
553;11709
553;11710
553;11711
553;11712
1600;11713
555;11713
557;11714
557;11715
557;11716
563;11717
563;11718
563;11719
563;11720
563;11721
568;11722
575;11723
585;11724
577;11724
590;11724
585;11725
577;11725
577;11726
577;11727
578;11728
579;11729
583;11730
585;11731
585;11732
585;11733
585;11734
585;11735
586;11736
587;11737
588;11738
589;11739
591;11740
592;11741
2872;11741
1539;11742
1167;11742
1299;11742
1941;11742
1692;11742
1693;11742
1056;11742
1199;11742
694;11742
594;11742
2003;11742
597;11742
1750;11742
731;11742
737;11742
2017;11742
631;11742
1400;11742
1399;11742
595;11743
596;11744
596;11745
1590;11745
596;11746
1590;11746
768;11747
1665;11747
1667;11747
650;11747
1932;11747
1552;11747
1403;11747
1429;11747
918;11747
1942;11747
1689;11747
1052;11747
926;11747
803;11747
2089;11747
939;11747
1713;11747
1723;11747
1599;11747
1474;11747
707;11747
2121;11747
715;11747
1103;11747
1488;11747
601;11747
1883;11747
990;11747
2143;11747
1505;11747
867;11747
1894;11747
2150;11747
872;11747
1258;11747
878;11747
1392;11747
1137;11747
1015;11747
635;11747
1021;11747
1793;11748
1156;11748
1413;11748
646;11748
2052;11748
1673;11748
1291;11748
1675;11748
1422;11748
1172;11748
917;11748
1435;11748
796;11748
669;11748
798;11748
1183;11748
1824;11748
2203;11748
674;11748
1955;11748
1060;11748
1316;11748
808;11748
1706;11748
811;11748
812;11748
2221;11748
1072;11748
1073;11748
819;11748
1972;11748
700;11748
1340;11748
1597;11748
703;11748
1981;11748
1987;11748
964;11748
1476;11748
1477;11748
1225;11748
1228;11748
1869;11748
1231;11748
856;11748
1497;11748
602;11748
987;11748
1120;11748
1124;11748
1639;11748
1767;11748
2154;11748
1516;11748
2157;11748
1776;11748
1778;11748
1140;11748
1525;11748
1911;11748
1784;11748
889;11748
1275;11748
638;11748
2176;11749
1155;11749
1033;11749
653;11749
1165;11749
783;11749
1679;11749
1170;11749
915;11749
1554;11749
1175;11749
2071;11749
1913;11749
922;11749
1819;11749
1564;11749
1567;11749
800;11749
1698;11749
2213;11749
1705;11749
683;11749
1067;11749
1711;11749
690;11749
947;11749
1204;11749
1459;11749
1462;11749
1591;11749
699;11749
1211;11749
832;11749
709;11749
838;11749
711;11749
1093;11749
1351;11749
970;11749
1605;11749
719;11749
849;11749
1746;11749
1107;11749
1876;11749
1368;11749
1882;11749
603;11749
1373;11749
734;11749
1503;11749
866;11749
1380;11749
741;11749
997;11749
1510;11749
1512;11749
1637;11749
621;11749
751;11749
1775;11749
1010;11749
1394;11749
1650;11749
1141;11749
1653;11749
1655;11749
888;11749
1780;11749
1864;11750
604;11750
6262;11750
836;11750
965;11751
1189;11751
2170;11751
2088;11751
1386;11751
1515;11751
1644;11751
2189;11751
1966;11751
2062;11751
1169;11751
2034;11751
2037;11751
2197;11751
2138;11751
606;11751
1799;11752
1545;11752
910;11752
1944;11752
1441;11752
680;11752
940;11752
1338;11752
2107;11752
1735;11752
1485;11752
1741;11752
1494;11752
2012;11752
1245;11752
1630;11752
607;11752
1888;11752
1251;11752
1131;11752
2156;11752
1548;11753
2061;11753
1296;11753
657;11753
1044;11753
1174;11753
1308;11753
1694;11753
1185;11753
1707;11753
1325;11753
1203;11753
1588;11753
