:ID;series:string
12701602;Technical report series : UMCS
12701603;ACM Books
12701604;Informationssicherheit
12701605;Modern Birkhäuser Classics
12701606;Wiley series in practical strategy
12701607;Oxford logic guides
12701608;Springer series in information sciences
12701609;Controversis
12701610;Advanced manufacturing series
12701611;Software Studies
12701612;Vieweg Lehrbuch
12701613;Studienreihe Informatik
12701614;Progress in mathematics
12701615;Informatik-Dissertationen ETH Zürich
12701616;Electronic-systems engineering series
12701617;Chapman and Hall / CRC computational science series
12701618;Beiträge zur Informatik
12701619;Computational intelligence
12701620;Schriftenreihe Verwaltungsinformatik
12701621;The Fraunhofer IESE series on software engineering
12701622;Fraunhofer series in information and communication technology
12701623;The CRC Press Advanced and emerging communications technologies series
12701624;Computers and security
12701625;Ellis Horwood series in computers and their applications
12701626;Foundation of computing series
12701627;MIT electrical engineering and computer science series
12701628;The Morgan Kaufmann practical guides series
12701629;Artificial intelligence series
12701630;Dissertations in geographic information science
12701631;Programming complex systems
12701632;McGraw-Hill series in software engineering and technology
12701633;Springer series in synergetics
12701634;Logic programming
12701635;Centro di Ricerca Matematica Ennio De Giorgi (CRM) Series
12701636;Loop transformations for restructuring compilers
12701637;McGraw-Hill series in electrical engineering
12701638;Addison Wesley object technology series
12701639;Beiträge zur graphischen Datenverarbeitung
12701640;The cornerstones of computing series
12701641;GeoInfo series
12701642;Advanced texts in econometrics
12701643;MOS-SIAM Series on Optimization
12701644;Computer science classics
12701645;Wiley series in software engineering practice
12701646;Pearson Studium
12701647;Pearson international edition
12701648;Prentice Hall Silicon systems engineering series
12701649;Sitzungsberichte der Heidelberger Akademie der Wissenschaften: Mathematisch-naturwissenschaftliche Klasse: Jahrgang 1995, 2. Abhandlung
12701650;Numerical mathematics and scientific computation
12701651;CS / Technical report / Knoxville / University of Tennessee / Computer Science Department
12701652;ACM Press books
12701653;Advances in object technology
12701654;Neue Software
12701655;Cambridge mathematical textbooks
12701656;FACIT: Formal approaches to computing and information technology
12701657;Open source library
12701658;Rice COMP TR
12701659;Gabler Research: neue betriebswirtschaftliche Forschung
12701660;Series in software engineering
12701661;Berichte aus der Psychologie
12701662;ACM distinguished dissertations
12701663;Discrete mathematics and its applications
12701664;dpunkt.Lehrbuch
12701665;Studies in logic, language and information
12701666;Fortschritt-Berichte VDI Reihe 10
12701667;Research in computer science
12701668;International Computer Science Series
12701669;SPIE / IEEE series on imaging science and engineering
12701670;Princeton series in theoretical and computational biology
12701671;Forschungsberichte für die Unternehmenspraxis
12701672;Research reports ESPRIT / project 9809, SER
12701673;Studies in logic and the foundations of mathematics
12701674;The Morgan Kaufmann series in systems on silicon
12701675;Foundations of computing series
12701676;Addison-Wesley object technology series
12701677;Ellis Horwood books in computer science
12701678;Software Best Practice
12701679;Computer graphics: systems and applications
12701680;DUV Informatik
12701681;ACM Distinguished Dissertations
12701682;The Fraunhofer IESE Series on Software and Systems Engineering
12701683;ASA-SIAM series on statistics and applied probability
12701684;CBMS-NSF regional conference series in applied mathematics
12701685;Lezioni Lincee
12701686;Bioinformatics in the post-genomic era
12701687;Perspectives in neural computing
12701688;Informationstechnologien für die Praxis
12701689;Electronic systems engineering series
12701690;Morgan Kaufmann series in computer graphics and geometric modeling
12701691;Springer Briefs in Mathematics
12701692;FZI-Berichte Informatik
12701693;Foundations of computing
12701694;Ergebnisse der Mathematik und ihrer Grenzgebiete
12701695;Sun Blueprints
12701696;Addison-Wesley Software Security Series
12701697;Technology in education series
12701698;Operations research / computer science interfaces series
12701699;Linux Specials
12701700;Best Practices Across the Data Life Cycle
12701701;Astronomy and astrophysics library
12701702;Mathematics Education Library
12701703;Computational mathematics and applications
12701704;Studies in natural language processing
12701705;Prentice Hall series in computer engineering
12701706;Leitfäden der angewandten Mathematik und Mechanik
12701707;Optimization and its applications
12701708;Macmillan computer science series
12701709;iX-Edition
12701710;Fischer Kompakt
12701711;Progress in computer science
12701712;Multimedia engineering
12701713;Tübinger Studientexte Informatik und Gesellschaft
12701714;Mathematische Grundlagen der Informatik
12701715;PC professional
12701716;Symbolic computation: artificial intelligence
12701717;Wiley series in communication and distributed systems
12701718;Applied optimization
12701719;Brady programming library
12701720;Chapman and Hall / CRC textbooks in computing
12701721;McGraw-Hill series in engineering sciences
12701722;Applied Computing
12701723;CPHC/BCS distinguished dissertations
12701724;Rotbuch Rationen
12701725;Applied computing
12701726;DSV
12701727;TUM-I
12701728;Forschen und Wissen Informatik
12701729;Ellis Horwood books in information technology
12701730;Ablex series in artificial intelligence
12701731;Arbeitsberichte des Department Informatik / Friedrich-Alexander-Universität Erlangen-Nürnberg
12701732;Springer Handbooks of Computational Statistics
12701733;Database management systems
12701734;TR
12701735;Schriftenreihe / Fachbereich Informatik, Universität Kaiserslautern
12701736;Chapman and Hall / CRC Applied Algorithms and Data Structures Series
12701737;The XP series
12701738;Springer series on agent technology
12701739;Wiley series on parallel and distributed computing
12701740;Perspectives in mathematical logic
12701741;mental ray® Handbooks
12701742;Logos
12701743;SIKS dissertation series
12701744;Ellis Horwood Series in artificial intelligence
12701745;Edition ALCATEL-SEL-Stiftung
12701746;Borland Osborne / McGraw-Hill programming series
12701747;Monographs in mathematics
12701748;DDI Use Case Literature
12701749;Perspectives in Mathematical Logic
12701750;Computer science workbench
12701751;Gesellschaft und Kommunikation
12701752;Fortschritte der Robotik
12701753;Chapman & Hall/CRC the R series
12701754;Genetic programming
12701755;Essays in cognitive psychology
12701756;Basiswissen
12701757;Aachener Informatik-Berichte, Software Engineering
12701758;Systems & Control: Foundations & Applications
12701759;International series in intelligent technologies
12701760;Oxford Master Series in Atomic, Optical, and Laser Physics
12701761;Information science and statistics
12701762;Tutorial guides in computing and information systems
12701763;Forschungsberichte
12701764;The Java series
12701765;Wiley-interscience series in systems and optimization
12701766;Advanced information processing
12701767;Wiley professional computingWiley series in software engineering practice
12701768;SIAM spotlights
12701769;Springer Compass
12701770;The Morgan Kaufmann series in networking
12701771;Applied logic series
12701772;Data handling in science and technology
12701773;DuD-Fachbeiträge
12701774;Spektrum-Hochschultaschenbuch
12701775;Sicherheit in der Informations- und Kommunikationstechnik
12701776;Springer series in computational mathematics
12701777;Teubner-Reihe Wirtschaftsinformatik
12701778;Mathematics and visualization
12701779;Synthese library
12701780;Research Report
12701781;Vieweg Studium
12701782;Information science and knowledge management
12701783;Whitestein series in software agent technologies and autonomic computing
12701784;Help for Internet users
12701785;Frontiers in applied mathematics
12701786;Logica Nova
12701787;Künstliche Intelligenz
12701788;X.systems.press
12701789;Computer aided systems engineering
12701790;Research reports for industrial practice domain
12701791;Studies in mathematical physics
12701792;Prentice Hall software series
12701793;Chapman and Hall / CRC innovations in software engineering and software development
12701794;De Gruyter Studium
12701795;Konstanzer Schriften in Mathematik und Informatik / Universität Konstanz / Fakultät für Mathematik und Informatik
12701796;Prentice Hall signal processing series
12701797;Informatik Lehrbuch-Reihe
12701798;Chapman and Hall / CRC computer and information science series
12701799;Tutorial text series
12701800;Series in approximations and decompositions
12701801;Wiley series in microwave and optical engineering
12701802;Computation and neural systems series
12701803;Reihe Künstliche Intelligenz
12701804;British library research
12701805;Series on applied mathematics
12701806;Texts in Computational Science and Engineering
12701807;vdf Lehrbuch
12701808;Series in computer science
12701809;Wiley series on information and communication technology
12701810;Mathematical surveys and monographs
12701811;Vieweg Lehrbuch Informatik
12701812;Trends in logic
12701813;MIT Press series in artificial intelligence
12701814;HRW Series in electrical and computer engineering
12701815;International software quality assurance series
12701816;Mathematik für Informatiker
12701817;Monographs in electrical and electronic engineering
12701818;de Gruyter series in nonlinear analysis and applications
12701819;Cambridge computer science texts
12701820;Regional conference series in applied mathematics
12701821;SunSoft Press Java series
12701822;Lecture Notes in Logic
12701823;A Norton professional book
12701824;Computer science and applied mathematics
12701825;Symbolic computation
12701826;Software Engineering Institute series in software engineering
12701827;Frontiers in mathematics
12701828;Modeling and simulation in science, engineering and technology
12701829;New media: policy and social research issues
12701830;Vieweg Studium Aufbaukurs Mathematik = Advanced lectures in mathematics
12701831;Ellis Horwood Series in computer communications and networking
12701832;Hewlett-Packard Press Series
12701833;International series in operations research and management science
12701834;Institute of Mathematical Statistics textbooks
12701835;Lectures in mathematics
12701836;MAA notes
12701837;Academic Press series in engineering
12701838;Undergraduate texts in mathematics
12701839;CSLI Studies in Computational Linguistics
12701840;Telepolis
12701841;Fortschritt-Berichte VDI Reihe 17
12701842;Pitman monographs and surveys in pure and applied mathematics
12701843;De Gruyter Lehrbuch
12701844;Applicable theory in computer science
12701845;Chapman & Hall computing series
12701846;TR ICSI - International Computer Science Institute / Berkeley
12701847;The Prentice Hall service-oriented computing series from Thomas Erl
12701848;Chapman and Hall computing series
12701849;Informatik-Lehrbuch
12701850;Internationale Computer-Bibliothek
12701851;Prentice-Hall Advances in computer science series
12701852;Uppsala theses in computing science
12701853;Wiley Series in Probability and Mathematical Statistics
12701854;Wiley-IS&T series in imaging science and technology
12701855;Powerful techniques for Perl and other tools
12701856;Professional Computing
12701857;Computer Science Workbench
12701858;Zielorientiertes Software Development
12701859;Dümmlerbuch
12701860;Teubner Studienbücher Ingenieurmathematik
12701861;Wiley pathways
12701862;Database systems
12701863;PHI Series in computer science
12701864;Research monographs in parallel and distributed computing
12701865;BI-Hochschultaschenbücher
12701866;Forschungsberichte/Monographien/Tagungsbände
12701867;C++ in-depth series
12701868;Hochschultaschenbuch
12701869;Statistics for Engineering and Information Science
12701870;Frontiers of computer science
12701871;Information systems
12701872;Sicherheit in der Informationstechnik
12701873;Programm Angewandte Informatik
12701874;Applied and numerical harmonic analysis
12701875;Advances in Experimental Medicine and Biology
12701876;Yourdon Press computing series
12701877;Cambridge international series on parallel computation
12701878;Real-Time Systems Series
12701879;Adaptive computation and machine learning
12701880;Prentice Hall series in advanced communications technologies
12701881;Internationale Reihe Kybernetik und Information
12701882;Practical software engineering series
12701883;SIAM studies in applied mathematics
12701884;Broschüren des Informatik-Forums Stuttgart e. V
12701885;Prentice Hall series in innovative technology
12701886;Ellis Horwood Series in computers and their applications
12701887;Fields Institute monographs
12701888;Frontiers in electronic testing
12701889;Statistik
12701890;Wirtschaftsinformatik / Business Computing
12701891;International series of numerical mathematics
12701892;IEEE Computer Society Press Tutorial
12701893;Sixth-generation computer technology series
12701894;Prentice Hall Information and System Sciences Series
12701895;Grundlehren der mathematischen Wissenschaften
12701896;Vieweg advanced studies in computer science
12701897;Morgan Kaufmann series in representation and reasoning
12701898;notThenot PWS series in computer science
12701899;Advances in computer science series
12701900;GMD-Bericht
12701901;Artech House information security and privacy series
12701902;Chapman and Hall / CRC studies in informatics series
12701903;Lingen PC Bibliothek
12701904;Mitteilungen aus dem Institut für angewandte Mathematik an der Eidgenössischen Technischen Hochschule in Zürich
12701905;Advances in industrial control
12701906;McGraw-Hill international series in software engineering
12701907;Nonconvex optimization and its applications
12701908;A.P.I.C. series
12701909;Cooperative Information Systems series
12701910;"ACM Doctoral dissertation award ; 1991"
12701911;Wiley series on wireless communications and mobile computing
12701912;Hanser Studienbücher der Informatik
12701913;Stanford Artificial Intelligence Laboratory: Memo AIM
12701914;Wiley series in mathematical and computational biology
12701915;World wide series in computer science
12701916;Apple developer connection / ADC
12701917;Wiley series in parallel computing
12701918;Vieweg Lehrbuch Angewandte Mathematik
12701919;BU-CS TR
12701920;The essence of management series
12701921;London Mathematical Society lecture note series
12701922;ASCI dissertation
12701923;Springer Series on Cultural Computing
12701924;Langue, raisonnement, calcul
12701925;The expert's voice
12701926;Informatik Lehrbuchreihe
12701927;Autonomic Systems
12701928;Hayden books Unix System Library
12701929;Research notes in theoretical computer science
12701930;Wadsworth & Brooks / Cole mathematics series
12701931;Bausteine Informatik
12701932;Make projects
12701933;Spektrum Lehrbuch
12701934;TELES European internet academy
12701935;Artificial Intelligence
12701936;Lecture notes in biomathematics
12701937;Statistical modeling and decision science
12701938;Lectures in mathematics / ETH Zürich
12701939;Hanser-Studien-Bücher
12701940;Cambridge studies in advanced mathematics
12701941;essentials
12701942;Graduate studies in mathematics
12701943;Informationsmittel für Bibliotheken : Beiheft
12701944;Leitfaeden der Informatik
12701945;Prentice Hall series in artificial intelligence
12701946;Perspectives in logic
12701947;Artech House computer security series
