:ID;editor:string
12654396;Evangelos Markakis
12654397;Ioannis Milis
12654398;Olivier Danvy
12654399;Chung-chieh Shan
12654400;Bob Coecke
12654401;Ichiro Hasuo
12654402;Prakash Panangaden
12654403;Ernesto Pimentel 0001
12654404;Valentín Valero
12654405;Ugo de'Liguoro
12654406;Joachim Niehren
12654407;David Sabel
12654408;Razieh Behjati
12654409;Ahmed Elmokashfi
12654410;Serge Autexier
12654411;Pedro Quaresma
12654412;Joanne M. Atlee
12654413;Stefania Gnesi
12654414;David S. Hardin
12654415;Julien Schmaltz
12654416;Hélène Kirchner
12654417;César A. Muñoz
12654418;Mohammad Reza Mousavi 0001
12654419;António Ravara
12654420;Kenichi Asai
12654421;Mark R. Shinwell
12654422;Mauricio Ayala-Rincón
12654423;Eduardo Bonelli
12654424;Ruzica Piskac
12654425;Rayna Dimitrova
12654426;Nathalie Bertrand 0001
12654427;Mirco Tribastone
12654428;Luca Bortolussi
12654429;Yuliya Lierler
12654430;José F. Morales 0001
12654431;Carmine Dodaro
12654432;Verónica Dahl
12654433;Martin Gebser
12654434;Tuncay Tekle
12654435;Gabriele Puppis
12654436;Tiziano Villa
12654437;Mario Gleirscher
12654438;Stefan Kugele
12654439;Sven Linker
12654440;Thomas Ehrhard
12654441;Valeria de Paiva
12654442;Lorenzo Tortora de Falco
12654443;Paulo Oliva
12654444;Clément Aubert
12654445;Cinzia Di Giusto
12654446;Larisa Safina
12654447;Alceste Scalas
12654448;Javier Cámara
12654449;Carlos Canal
12654450;Gwen Salaün
12654451;Jeremy W. Bryans
12654452;John S. Fitzgerald
12654453;Horatiu Cirstea
12654454;Manuela-Luminita Bujorianu
12654455;Jan Bouda
12654456;Lukás Holík
12654457;Jan Strejcek
12654458;Adam Rambousek
12654459;Jorge A. Pérez 0001
12654460;Simone Tini
12654461;John Derrick
12654462;Eerke A. Boiten
12654463;Steve Reeves
12654464;S. Barry Cooper
12654465;Elham Kashefi
12654466;Emanuele De Angelis
12654467;Grigory Fedyukovich
12654468;Nikos Tzevelekos
12654469;Mattias Ulbrich
12654470;Ansgar Fehnker
12654471;Hubert Garavel
12654472;Bart Bogaerts 0001
12654473;Esra Erdem 0001
12654474;Paul Fodor
12654475;Andrea Formisano 0001
12654476;Giovambattista Ianni
12654477;Daniela Inclezan
12654478;Alicia Villanueva
12654479;Marina De Vos
12654480;Fangkai Yang
12654481;Simon Bliudze
12654482;Roberto Bruni
12654483;Davide Grohmann
12654484;Alexandra Silva 0001
12654485;Fabio Mogavero
12654486;Aniello Murano
12654487;Moshe Y. Vardi
12654488;Alexis Saurin
12654489;Giovanna D'Agostino
12654490;Salvatore La Torre
12654491;Dana Fisman
12654492;Swen Jacobs
12654493;Dragan Bosnacki
12654494;Stefan Edelkamp
12654495;Alberto Lluch-Lafuente
12654496;Anton Wijs
12654497;Johannes Reich
12654498;Bernd Finkbeiner
12654499;Marie Farrell
12654500;Matt Luckcuck
12654501;Jun Pang 0001
12654502;Yang Liu 0003
12654503;Fang Yu 0001
12654504;Chao Wang
12654505;Matty J. Hoban
12654506;Marco Carbone
12654507;Ivan Lanese
12654508;Ana Sokolova
12654509;Patrick Bahr
12654510;Sam Lindley
12654511;Gabriel Scherer
12654512;Cezary Kaliszyk
12654513;Christoph Lüth
12654514;Henning Bordihn
12654515;Géza Horváth
12654516;György Vaszil
12654517;Frédéric Blanqui
12654518;Giselle Reis
12654519;Nobuko Yoshida
12654520;Wim Vanderbauwhede
12654521;Jasmin Christian Blanchette
12654522;Max S. New
12654523;Bruno Woltzenlogel Paleo
12654524;Holger Hermanns
12654525;Peter Höfner
12654526;Arend Rensink
12654527;Eduardo Zambon
12654528;Silvia Crafa
12654529;Daniel Gebler
12654530;Angelo Montanari
12654531;Margherita Napoli
12654532;Mimmo Parente
12654533;Michele Boreale
12654534;Steve Kremer
12654535;Walther Neuper
12654536;João Marcos 0001
12654537;Jakob Rehof
12654538;Martin Zimmermann 0002
12654539;Herbert Wiklicky
12654540;Mieke Massink
12654541;Massimo Bartoletti
12654542;Sophia Knight
12654543;Marisa Navarro
12654544;Aleks Kissinger
12654545;Rafael C. Cardoso 0001
12654546;Angelo Ferrando 0001
12654547;Fabio Papacchini
12654548;Mehrnoosh Askarpour
12654549;Louise A. Dennis
12654550;Claudio Sacerdoti Coen
12654551;Alwen Tiu
12654552;Dale Miller 0001
12654553;Ivan Scagnetto
12654554;César Andrés
12654555;Luis Llana
12654556;Simon Thompson
12654557;Peter Achten
12654558;Heather Miller
12654559;Delia Kesner
12654560;Petrucio Viana
12654561;Pierre Ganty
12654562;Davide Bresolin
12654563;Sebastian Maneth
12654564;Joaquín García-Alfaro
12654565;Gürkan Gür
12654566;Jana Tumova
12654567;Paolo Masci 0001
12654568;Thao Dang 0001
12654569;Carla Piazza
12654570;Jurriaan Hage
12654571;Frank D. Valencia
12654572;Ludovic Henrio
12654573;Anastasia Mavridou
12654574;Gregor Gößler
12654575;Oleg Sokolsky
12654576;Lorenzo Clemente
12654577;Georgiana Caltais
12654578;Jean Krivine
12654579;Javier Esparza
12654580;Enrico Tronci
12654581;Julien Lange
12654582;Yves Deville
12654583;Christine Solnon
12654584;Dominic A. Orchard
12654585;Benedikt Löwe
12654586;Glynn Winskel
12654587;Davide Ancona
12654588;Gordon Pace
12654589;Doron A. Peled
12654590;Sven Schewe
12654591;Benoît Valiron
12654592;Shane Mansfield
12654593;Pablo Arrighi
12654594;Chris Heunen
12654595;Peter Selinger
12654596;Jamie Vicary
12654597;Enrico Formenti
12654598;Francisco Durán 0001
12654599;Vlad Rusu
12654600;Alexander Heußner
12654601;James Chapman 0001
12654602;Paul Blain Levy
12654603;Alastair F. Donaldson
12654604;Vasco T. Vasconcelos
12654605;Clemens Dubslaff
12654606;Bas Luttik
12654607;Shilpi Goel
12654608;Matt Kaufmann
12654609;Herman Geuvers
12654610;Gopalan Nadathur
12654611;Ugo Dal Lago
12654612;Philip K. F. Hölzenspies
12654613;Anamaria Martins Moreira
12654614;Hugo Torres Vieira
12654615;Michael Cuffaro
12654616;Philippos Papayannopoulos
12654617;Guillaume Bonfante
12654618;Georg Moser
12654619;Marco T. Morazán
12654620;Femke van Raamsdonk
12654621;Régine Laleau
12654622;Shin Nakajima 0001
12654623;Elena Troubitsyna
12654624;Sandra Alves
12654625;Shang-Wei Lin 0001
12654626;Laure Petrucci
12654627;Petr Ambroz
12654628;Stepan Holub
12654629;Zuzana Masáková
12654630;David Baelde
12654631;Arnaud Carayol
12654632;Inês Lynce
12654633;Ralf Treinen
12654634;Luca Aceto
12654635;Adrian Francalanza
12654636;Jürgen Dassow
12654637;Giovanni Pighizzini
12654638;Bianca Truthe
12654639;Bart Jacobs 0001
12654640;Bas Spitters
12654641;Michel A. Reniers
12654642;Peter Csaba Ölveczky
12654643;Cyrille Artho
12654644;Jean-François Raskin
12654645;Simon Gay
12654646;Jade Alglave
12654647;Joseph Y. Halpern
12654648;Andrés Perea
12654649;Barbora Buhnova
12654650;Sujata Ghosh
12654651;R. Ramanujam 0001
12654652;Stephanie Balzer
12654653;Luca Padovani
12654654;Maurice H. ter Beek
12654655;Michele Loreti
12654656;Turlough Neary
12654657;Damien Woods
12654658;Anthony Karel Seda
12654659;Niall Murphy
12654660;Maciej Koutny
12654661;Stéphane Graham-Lengrand
12654662;Luca Paolini
12654663;Jiri Barnat
12654664;Keijo Heljanko
12654665;Adel Bouhoula
12654666;Tetsuo Ida
12654667;Fairouz Kamareddine
12654668;Bartek Klin
12654669;Pawel Sobocinski 0001
12654670;Michael Moortgat
12654671;Gijs Wijnholds
12654672;Marco Faella
12654673;Hossein Hojjat
12654674;Bishoksan Kafle
12654675;Sebastian S. Bauer
12654676;Jean-Baptiste Raclet
12654677;Rumyana Neykova
12654678;Naoki Kobayashi 0001
12654679;Konstantinos Chatzikokolakis 0001
12654680;Véronique Cortier
12654681;Mehdi Kargahi
12654682;Ashutosh Trivedi 0001
12654683;Josep Silva
12654684;Alexei Lisitsa 0001
12654685;Andrei P. Nemytykh
12654686;Sjouke Mauw
12654687;Miriam Backens
12654688;Anne Remke
12654689;Dung Hoang Tran
12654690;Alex Graudenzi
12654691;Giulio Caravagna
12654692;Giancarlo Mauri
12654693;Marco Antoniotti
12654694;Kirstin Peters
12654695;Krzysztof R. Apt
12654696;Roman Barták
12654697;Éric Monfroy
12654698;Sebastian Brand
12654699;Gordon J. Pace
12654700;Anders P. Ravn
12654701;Ezio Bartocci
12654702;Temur Kutsia
12654703;Brijesh Dongol
12654704;Alexander K. Petrenko
12654705;Holger Schlingloff
12654706;Jeremy Yallop
12654707;Damien Doligez
12654708;Mircea Marin
12654709;Adrian Craciun
12654710;Johannes Borgström
12654711;José Proença
12654712;Andrei Paskevich
12654713;Armando Solar-Lezama
12654714;Martin Suda 0001
12654715;Sarah Winkler
12654716;Erzsébet Csuhaj-Varjú
12654717;Pál Dömösi
12654718;Nikolaj S. Bjørner
12654719;Fabio Fioravanti
12654720;Andrey Rybalchenko
12654721;Valerio Senni
12654722;Laurent Fribourg
12654723;Matthias Heizmann
12654724;Thomas Brihaye
12654725;Benoît Delahaye
12654726;Loïg Jezequel
12654727;Nicolas Markey
12654728;Jirí Srba
12654729;Ross Duncan
12654730;Lawrence S. Moss
12654731;Filippo Bonchi
12654732;Paola Spoletini
12654733;Emilio Tuosto
12654734;Frank Valencia
12654735;Carsten Schürmann
12654736;Rob Sumners
12654737;Cuong Chau
12654738;John P. Gallagher
12654739;Rob van Glabbeek
12654740;Wendelin Serwe
12654741;Haniel Barbosa
12654742;Vincent Danos
12654743;Sibylle Schwarz
12654744;Janis Voigtländer
12654745;Xizhong Zheng
12654746;Ning Zhong 0002
12654747;Anna Slobodová
12654748;Warren A. Hunt Jr.
12654749;Simona Ronchi Della Rocca
12654750;Ulrich Berger 0001
12654751;Alessio Lomuscio
12654752;Paola Quaglia
12654753;Philipp Rümmer
12654754;Samantha Kleinberg
12654755;Patrick Baillot
12654756;Rafael Wisniewski
12654757;Lukas Bulwahn
12654758;Maryam Kamali
12654759;Maurizio Proietti
12654760;Jean-Yves Marion
12654761;Ana Bove
12654762;Ekaterina Komendantskaya
12654763;Milad Niqui
12654764;Paolo Milazzo
12654765;Mario de J. Pérez-Jiménez
12654766;Alberto Pettorossi
12654767;Simon J. Gay
12654768;Paul Kelly
12654769;Daniela Briola
12654770;Claudio Menghi
12654771;Tobias Ahlbrecht
12654772;Todd J. Green
12654773;Alan Schmitt
12654774;Neel Krishnaswami
12654775;Robert Atkey
12654776;Jurriaan Rot
12654777;Matthew Cook 0001
12654778;Étienne André
12654779;Goran Frehse
12654780;Ornela Dardha
12654781;Valentina Castiglioni
12654782;Thomas Seiller
12654783;Steffen Jost
12654784;Andrea Corradini 0001
12654785;Hans Zantema
12654786;Jaco van de Pol
12654787;Jim Woodcock
12654788;Keren Censor-Hillel
12654789;Valerie King
12654790;Anindya Banerjee 0001
12654791;Kyung-Goo Doh
12654792;John Hatcliff
12654793;Krishnendu Chatterjee
12654794;Rüdiger Ehlers
12654795;Susmit Jha
12654796;Farid M. Ablayev
12654797;Alexander Vasiliev
12654798;Laura Bocchi
12654799;Andrzej Indrzejczak
12654800;Michal Zawidzki
12654801;Enrico Tassi
12654802;Natallia Kokash
12654803;Rosemary Monahan
12654804;Virgile Prevosto
12654805;Alessandra Di Pierro
12654806;Gethin Norman
12654807;Michele Pagani
12654808;Christoph Benzmüller
12654809;Giulio Chiribella
12654810;Rachid Echahed
12654811;Detlef Plump
12654812;Ian McQuillan
12654813;Santiago Escobar 0001
12654814;Nikolay V. Pakulin
12654815;Bernd-Holger Schlingloff
12654816;Stefan Ratschan
12654817;Matthew Stone
12654818;Libby Levison
12654819;Uli Fahrenberg
12654820;Claus R. Thrane
12654821;Berthold Hoffmann
12654822;Mark Minas
12654823;Alex Groce
12654824;Stefan Leue
12654825;Barbara Kordy
12654826;Wolter Pieters
12654827;Xiang Fu
12654828;Sylvain Hallé
12654829;Aart Middeldorp
12654830;Laura Kovács
12654831;Rosario Pugliese
12654832;Francesco Tiezzi 0001
12654833;Predrag Janicic
12654834;Zoltán Kovács
12654835;Johan Jeuring
12654836;Jay McCarthy
12654837;Alastair R. Beresford
12654838;Jules Hedges
12654839;Dimitri Kartsaklis
12654840;Dan Marsden
12654841;Mohamed Faouzi Atig
12654842;Ahmed Rezine
12654843;Domenico Cantone
12654844;Giorgio Delzanno
12654845;Matthew Leifer
12654846;Franck Cassez
12654847;Ralf Huuck
12654848;Gerwin Klein
12654849;Bastian Schlich
12654850;Geoff W. Hamilton
12654851;Alastair A. Abbott
12654852;Dominic C. Horsman
12654853;John Baez
12654854;Yu-Fang Chen 0001
12654855;Kim G. Larsen
12654856;Ulrik Nyman
12654857;Grant O. Passmore
12654858;Ruben Gamboa
12654859;Lubos Brim
12654860;Saddek Bensalem
12654861;Chantal Keller
12654862;Mathias Fleury
12654863;Georgios Alexandridis
12654864;Georgios Siolas
12654865;Andreas Stafylopatis
12654866;Karl Crary
12654867;Marino Miculan
12654868;John Power
12654869;Julia Rubin
12654870;Thomas Thüm
12654871;Suzana Andova
12654872;Annabelle McIver
12654873;Pedro R. D'Argenio
12654874;Pieter J. L. Cuijpers
12654875;Jasen Markovski
12654876;Carroll Morgan
12654877;Manuel Núñez 0001
12654878;Pieter Van Gorp
12654879;Steffen Mazanek
12654880;Louis M. Rose
12654881;Freek Verbeek
12654882;Erika Ábrahám
12654883;Sergiy Bogomolov
12654884;Jeremy Gibbons
12654885;James L. Caldwell
12654886;Oleg Kiselyov
12654887;Jacques Garrigue
12654888;Pavol Cerný
12654889;Viktor Kuncak
12654890;Parthasarathy Madhusudan
12654891;Alessandro Aldini
12654892;Marcello Maria Bersani
12654893;Luca Ferrucci
12654894;Manuel Mazzara
12654895;Massimo Tivoli
12654896;Alexandre Miquel
12654897;Francisco Martins
12654898;Dominic Orchard
12654899;Nazareno Aguirre
12654900;Leila Ribeiro 0001
12654901;Francesco Ricca
12654902;Alessandra Russo
12654903;Sergio Greco
12654904;Nicola Leone
12654905;Alexander Artikis
12654906;Gerhard Friedrich
12654907;Angelika Kimmig
12654908;Francesca A. Lisi
12654909;Marco Maratea
12654910;Alessandra Mileo
12654911;Fabrizio Riguzzi
12654912;Adriano Peron
12654913;Rob J. van Glabbeek
12654914;Jan Friso Groote
12654915;Danilo Pianini
12654916;Guido Salvaneschi
12654917;Michiel Ronsse
12654918;Koen De Bosschere
12654919;Elena Machkasova
12654920;Ralph Matthes
12654921;Matteo Mio
12654922;Giordano Pola
12654923;Ulrike Golas
12654924;Thomas Soboll
12654925;Neelakantan R. Krishnaswami
12654926;Philipp Haller
12654927;Christian Krause 0001
12654928;Yanhong Annie Liu
12654929;Alex Brik
12654930;Gian Luca Pozzato
