author;publication
2150075510;1721467
2499981733;679396
2147321457;1140292
2428497728;1660204
2681908063;901073
2158778341;765817
2045037359;1632847
2308774408;1688
2018949663;1657854
2669449931;114370
141736819;260313
2101782692;1091
2103731555;1810055
1989758972;1667187
2142661741;1106092
2762320514;846542
2493868681;164367
2645006587;837272
1975309703;1209436
2493686800;609973
2103079183;1226599
2304710423;1399713
2683840335;1244547
2661700439;1634989
2309184367;164367
65851461;159256
2931023922;11779
2796529389;523061
2146734793;618247
2116143136;1807198
2477205774;1451898
2157702415;1062261
2156592825;287008
2720575637;1485153
2127270539;563404
2164267974;1124433
2305132796;1553690
2236022617;598832
669381866;55078
2722681543;1581016
2763595081;1721467
2488968309;833910
2404147525;1524040
1847450845;1408385
2035156685;1777938
2123652010;965074
2670650348;646095
2757395539;435147
2113298766;559767
2066898351;1422719
1999268070;26038
2149556533;359688
2067580452;1519294
2137419572;316117
2397266286;820964
2627534645;884621
2525283009;872221
2633024094;1147978
2134320461;1682202
44593440;221287
2087891828;456073
2591509844;228692
2628324167;1248930
2221579151;972797
2642812561;572518
2122134999;621293
2406030341;1193714
2135792278;118881
2899430190;310749
2128060600;933995
2566258941;1206203
2152243552;649244
2798735807;1645939
2293842069;44505
2047770671;1077251
2569628532;320228
2117415135;1817027
2257417114;1358181
2124071272;493438
2103849064;1418546
1779508249;1601902
2685950750;316834
2169761952;475113
2116800970;256357
2672200869;669189
2136316697;153060
1998260123;1666476
581652684;237040
2159117647;1366435
279117051;603151
2439451327;1527533
1384276614;1479534
2136522766;344829
2706679727;464794
566595724;1314966
2228786990;345137
2780661356;195760
298193029;534850
2697226189;215741
2485290060;1535111
2698121630;1693126
2667078086;672252
2132561488;810979
2110471373;1689216
2406205780;1144321
2643207079;856777
2109334627;566695
2985164481;1082759
2140245531;1110498
2112598428;243668
2650687188;37090
2163873308;11895
2403627044;961605
277322418;99023
2504038831;965074
2626454983;601150
729327767;1658827
2068378787;1814947
2150988014;610698
2009620423;133010
2460587584;661497
2140518643;1778470
2008578578;1601417
2126273881;1221507
2403558765;384603
1964293424;1722903
2132722601;671169
2636595161;1555794
2170436370;268983
2172134638;1363491
2022192081;6522
1871374105;155019
2274044327;716434
2663056000;1616176
2306492154;657635
2404155276;336781
2139265995;1603316
2407745729;44486
2052180799;511208
2076043300;1030874
2641181962;65230
2099576825;980020
2070832539;502452
2097618570;876431
2635583305;1240319
2108607143;1253067
2064212524;405103
1918863606;951276
2974770515;1145009
2012177412;1656258
2135702970;496663
2985454178;770958
2089875223;1228939
2152498212;133010
2126895602;1625323
1770341679;692179
2635036015;473870
2678005342;624282
2798978940;397387
90462051;1348836
2163680003;1538262
2161206522;503857
2291005947;1173719
2673343439;916140
2506363818;1038253
1927076239;444631
1218286223;162019
2036832964;34988
2421740239;1563810
2016207319;1096736
1988886226;1172257
2274428782;1203397
2136680303;215274
2716108579;1267893
2649435869;1040463
2706226481;758481
2010625751;671169
40609271;775502
293499436;1580328
1984249788;1668647
148277250;122273
2061961804;395173
2124312922;1333158
2114054191;1091
1914963250;858943
233697368;1368350
1215146045;1477903
164943294;1627074
2127446269;40399
2100026579;1810403
2098378790;951276
1987621619;155019
288500632;220776
2942248410;1193714
2503259019;295244
2627430093;215073
2133272060;446155
2137690760;1223409
2636703413;1581016
2113259998;1565496
2308533529;795791
220784799;149844
2402683184;260313
2233341286;1610527
2139065608;364042
2430475429;3015
203016618;464794
2212448048;1393252
290632687;138627
2667718454;1569375
2527167101;1426774
2776466779;485597
2158484238;1103124
2488651990;1353487
2147779349;671169
2635115182;1709747
2397913436;40449
2135877978;1083725
2119964904;621293
2148534148;1519977
2032665542;1011709
2502459492;1419645
2153957209;1736712
298902648;790450
2151367964;755599
2973545361;445523
2401466906;1469167
2114383993;182605
81373348;1185599
2165044611;840705
2162242461;796746
2441235872;714243
2659034050;1333772
2719641508;1036971
2708318919;761799
1914963250;1794591
2485818329;1475397
2403572387;907500
2483104957;1736531
2987536810;297098
2168455878;356562
2277550874;1604754
2302978205;1688939
2159053426;1766699
2087822860;1306813
2157360396;1256473
2151003410;1103655
2406854008;1013863
2577792503;1673282
2699881372;1581621
1996370349;1319706
2404122492;1387396
2305930098;1067598
2169578825;1104569
2399051024;809930
2664713669;1112477
2115640111;263297
388366601;883526
271348325;816299
2806431174;1781377
2134078435;388674
2163825945;927670
2154239598;497513
2030473740;439701
2689909520;455583
2483090152;114370
2158864104;1453065
20509179;511318
2151732191;1479521
2292536538;1315694
2683332899;1568722
237181141;493438
310993417;1622774
1373187678;1661019
2682920783;1448029
2098280818;1681560
2056261776;612668
2130071735;490820
2120984770;1239202
189137728;493721
2951381110;1448152
2299575607;408900
2075066679;1089315
326947441;258746
1335551265;867563
2330105029;49268
2811167211;1688939
159610316;771098
2158251953;1813111
1979115484;952181
2578283028;994405
220887178;5781
2100868817;867361
53644460;368576
220641829;1496815
2159432899;3787
2698430947;1664788
1820775731;130022
2124845496;1213380
2143811590;1509457
1996020375;668849
1272988699;1603316
2691802878;1390698
2667735453;73220
2322634291;40449
2072798402;1257502
2096366321;275008
2305382089;671169
2708063097;107151
2093417782;897687
2665610093;1422719
2151433266;376474
2130431662;407910
2590204543;384603
2239377015;1601845
2640208037;849475
2697183694;171006
237268261;899173
2060579979;520826
2702224597;842930
2974648716;1770975
2136798047;449591
2100790447;505143
2097766447;1078069
2163909284;320896
2704403314;313502
2120709695;320786
2300589394;1688
2026485844;82554
2904234471;506323
2693206547;1677821
2662766058;592776
2156496335;1536770
2302897052;1287788
2433633838;1572317
1969311846;449591
2974572717;505558
2692720709;674505
2654393748;778541
2047018924;678483
274939795;330977
170362555;1194461
1965023637;955581
2707337078;1131298
2122931204;223960
2549153065;247967
2132197357;129505
2722624001;43929
2096482855;1253795
1974967662;501892
2520420120;609973
1972118757;1619002
2010120055;897687
2149856031;1113293
2103028973;687179
2268958123;1721467
2573385741;539917
2800176049;499848
2098956257;423593
2111080635;1441238
